[0.085s] Invoking command in '/home/gary/first_ws/build/my_robot_interfaces': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/gary/first_ws/install/turtlesim_catch_them_all:/home/gary/first_ws/install/my_py_pkg:/opt/ros/humble /usr/bin/cmake --build /home/gary/first_ws/build/my_robot_interfaces -- -j8 -l8
[0.151s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_generator_c[0m
[0.164s] [  1%] Built target my_robot_interfaces__cpp
[0.171s] [ 12%] Built target my_robot_interfaces__rosidl_generator_c
[0.171s] [ 12%] Built target ament_cmake_python_symlink_my_robot_interfaces
[0.181s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_cpp[0m
[0.183s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_introspection_cpp[0m
[0.183s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_fastrtps_cpp[0m
[0.188s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_c[0m
[0.189s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_introspection_c[0m
[0.194s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_fastrtps_c[0m
[0.214s] [ 23%] Built target my_robot_interfaces__rosidl_typesupport_c
[0.216s] [ 46%] Built target my_robot_interfaces__rosidl_typesupport_cpp
[0.216s] [ 46%] Built target my_robot_interfaces__rosidl_typesupport_introspection_cpp
[0.218s] [ 57%] Built target my_robot_interfaces__rosidl_typesupport_introspection_c
[0.219s] [ 69%] Built target my_robot_interfaces__rosidl_typesupport_fastrtps_cpp
[0.225s] [ 80%] Built target my_robot_interfaces__rosidl_typesupport_fastrtps_c
[0.247s] [ 80%] Built target my_robot_interfaces
[0.270s] [ 81%] Built target my_robot_interfaces__py
[0.286s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_generator_py[0m
[0.315s] [ 91%] Built target my_robot_interfaces__rosidl_generator_py
[0.331s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_c__pyext[0m
[0.332s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_fastrtps_c__pyext[0m
[0.332s] [35m[1mConsolidate compiler generated dependencies of target my_robot_interfaces__rosidl_typesupport_introspection_c__pyext[0m
[0.348s] [ 94%] Built target my_robot_interfaces__rosidl_typesupport_introspection_c__pyext
[0.348s] [ 97%] Built target my_robot_interfaces__rosidl_typesupport_c__pyext
[0.349s] [100%] Built target my_robot_interfaces__rosidl_typesupport_fastrtps_c__pyext
[0.499s] running egg_info
[0.500s] writing my_robot_interfaces.egg-info/PKG-INFO
[0.501s] writing dependency_links to my_robot_interfaces.egg-info/dependency_links.txt
[0.501s] writing top-level names to my_robot_interfaces.egg-info/top_level.txt
[0.504s] reading manifest file 'my_robot_interfaces.egg-info/SOURCES.txt'
[0.505s] writing manifest file 'my_robot_interfaces.egg-info/SOURCES.txt'
[0.534s] [100%] Built target ament_cmake_python_build_my_robot_interfaces_egg
[0.547s] Invoked command in '/home/gary/first_ws/build/my_robot_interfaces' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/gary/first_ws/install/turtlesim_catch_them_all:/home/gary/first_ws/install/my_py_pkg:/opt/ros/humble /usr/bin/cmake --build /home/gary/first_ws/build/my_robot_interfaces -- -j8 -l8
[0.800s] Invoking command in '/home/gary/first_ws/build/my_robot_interfaces': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/gary/first_ws/install/turtlesim_catch_them_all:/home/gary/first_ws/install/my_py_pkg:/opt/ros/humble /usr/bin/cmake --install /home/gary/first_ws/build/my_robot_interfaces
[0.812s] -- Install configuration: ""
[0.815s] -- Execute custom install script
[0.815s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/share/ament_index/resource_index/rosidl_interfaces/my_robot_interfaces
[0.817s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/include/my_robot_interfaces/my_robot_interfaces/msg/detail/hardware_status__functions.h
[0.818s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/include/my_robot_interfaces/my_robot_interfaces/msg/detail/hardware_status__struct.h
[0.818s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/include/my_robot_interfaces/my_robot_interfaces/msg/detail/hardware_status__type_support.h
[0.818s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/include/my_robot_interfaces/my_robot_interfaces/msg/detail/led_panel_status__functions.h
[0.818s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/include/my_robot_interfaces/my_robot_interfaces/msg/detail/led_panel_status__struct.h
[0.818s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/include/my_robot_interfaces/my_robot_interfaces/msg/detail/led_panel_status__type_support.h
[0.819s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/include/my_robot_interfaces/my_robot_interfaces/msg/detail/new_turtle_pos__functions.h
[0.820s] -- Up-to-date symlink: /home/gary/first_ws/install/my_robot_interfaces/include/my_robot_interfaces/my_robot_interfaces/msg/detail/new_turtle_pos__struct.h
